Date,Close/Last,Volume,Open,High,Low
08/17/2020,74.757,N/A,74.743,74.81,74.74
08/16/2020,74.833,N/A,74.874,74.903,74.82
08/14/2020,74.903,N/A,74.811,74.972,74.74
08/13/2020,74.87,N/A,74.811,74.89,74.812
08/12/2020,74.81,N/A,74.79,74.825,74.775
08/11/2020,74.615,N/A,74.61,74.62,74.615
08/10/2020,74.863,N/A,74.87,74.885,74.843
08/09/2020,75.025,N/A,75.012,75.025,75.025
08/07/2020,75.025,N/A,74.89,75.104,74.897
08/06/2020,75.067,N/A,74.89,75.085,74.90
08/05/2020,74.81,N/A,74.796,74.88,74.79
08/04/2020,74.942,N/A,75.06,75.061,74.935
08/03/2020,75.185,N/A,75.185,75.185,75.185
08/02/2020,74.898,N/A,74.916,74.925,74.862
07/31/2020,74.918,N/A,74.875,74.934,74.685
07/30/2020,74.876,N/A,74.923,74.956,74.797
07/29/2020,74.833,N/A,74.923,74.948,74.825
07/28/2020,74.835,N/A,74.907,74.909,74.828
07/27/2020,74.857,N/A,74.79,74.862,74.772
07/26/2020,74.76,N/A,74.75,74.76,74.76
07/24/2020,74.77,N/A,74.81,74.978,74.709
07/23/2020,74.933,N/A,74.81,74.97,74.815
07/22/2020,74.618,N/A,74.60,74.675,74.61
07/21/2020,74.601,N/A,74.53,74.603,74.523
07/20/2020,74.734,N/A,74.74,74.75,74.675
07/19/2020,74.935,N/A,74.884,74.975,74.898
07/17/2020,74.898,N/A,75.17,75.25,74.898
07/16/2020,75.21,N/A,75.17,75.228,75.18
07/15/2020,75.188,N/A,75.12,75.406,75.058
07/14/2020,75.338,N/A,75.377,75.406,75.302
07/13/2020,75.212,N/A,75.19,75.229,75.082
07/12/2020,75.18,N/A,75.19,75.21,75.145
07/10/2020,75.195,N/A,75.14,75.33,75.141
07/09/2020,75.155,N/A,74.94,75.16,74.909
07/08/2020,74.957,N/A,74.94,74.999,74.919
07/07/2020,74.865,N/A,74.805,74.905,74.81
07/06/2020,74.708,N/A,74.63,74.72,74.635
07/05/2020,74.636,N/A,74.634,74.636,74.636
07/03/2020,74.636,N/A,74.74,75.03,74.595
07/02/2020,74.772,N/A,75.48,75.532,74.641
07/01/2020,75.495,N/A,75.48,75.515,75.455
06/30/2020,75.513,N/A,75.54,75.545,75.513
06/29/2020,75.499,N/A,75.50,75.52,75.46
06/28/2020,75.601,N/A,75.61,75.67,75.592
06/26/2020,75.635,N/A,75.585,75.68,75.43
06/25/2020,75.553,N/A,75.585,75.587,75.515
06/24/2020,75.775,N/A,75.65,75.775,75.665
